Time and Date, Temperature ( C), Temperature ( F), Humidity (%)
10:55:45 18/09/2024, 33.00, 91.40, 32.00
10:55:48 18/09/2024, 33.00, 91.40, 32.00
10:55:50 18/09/2024, 32.00, 89.60, 33.00
10:55:52 18/09/2024, 32.00, 89.60, 33.00
10:55:54 18/09/2024, 32.00, 89.60, 36.00
10:55:57 18/09/2024, 32.00, 89.60, 41.00
10:55:59 18/09/2024, 32.00, 89.60, 47.00
10:56:01 18/09/2024, 32.00, 89.60, 56.00
10:56:03 18/09/2024, 32.00, 89.60, 64.00
10:56:06 18/09/2024, 32.00, 89.60, 66.00
10:56:08 18/09/2024, 32.00, 89.60, 66.00
10:56:10 18/09/2024, 32.00, 89.60, 65.00
10:56:12 18/09/2024, 32.00, 89.60, 61.00
10:56:15 18/09/2024, 32.00, 89.60, 57.00
10:56:17 18/09/2024, 32.00, 89.60, 53.00
10:56:19 18/09/2024, 32.00, 89.60, 50.00
10:56:21 18/09/2024, 32.00, 89.60, 47.00
12:25:41 18/09/2024, 34.00, 93.20, 27.00
12:25:43 18/09/2024, 34.00, 93.20, 27.00
12:25:46 18/09/2024, 34.00, 93.20, 29.00
12:25:48 18/09/2024, 33.00, 91.40, 32.00
12:25:50 18/09/2024, 32.00, 89.60, 34.00
12:25:52 18/09/2024, 31.00, 87.80, 36.00
12:25:55 18/09/2024, 31.00, 87.80, 37.00
12:25:57 18/09/2024, 31.00, 87.80, 37.00
12:25:59 18/09/2024, 31.00, 87.80, 37.00
12:26:01 18/09/2024, 31.00, 87.80, 37.00
12:26:04 18/09/2024, 31.00, 87.80, 37.00
12:26:06 18/09/2024, 31.00, 87.80, 37.00
12:26:08 18/09/2024, 31.00, 87.80, 37.00
